id_venda;data;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
30;2023-01-24 10:01:57.100090;Lajeado;Adriano Soares;Tenis Adidas;Michael Brown;masculino;credito
31;2023-01-24 10:24:56.842664;Florianópolis;Mario Sérgio;Tenis NB;Betty Galaviz;feminino;credito
32;2023-01-24 12:50:57.756152;Lajeado;Adriano Soares;Tenis Fila;Deborah Christie;feminino;credito
33;2023-01-24 14:39:58.043246;Lajeado;Juliano Faccioni;Tenis Nike;Jason Sedrakyan;masculino;credito
34;2023-01-24 16:02:59.379747;Canoas;Carlos Henrique;Tenis Fila;Vivian Quick;feminino;credito
35;2023-01-25 12:34:56.560241;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Tricia Heinz;feminino;credito
36;2023-01-25 13:58:58.409387;Porto Alegre;Luiza Cherobini;Tenis Nike;David Coffman;masculino;credito
37;2023-01-26 07:57:57.454187;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;David Chaidez;masculino;credito
38;2023-01-26 10:19:56.888683;Florianópolis;Claudia dos Santos;Tenis Nike;Bradford Adamski;masculino;credito
39;2023-01-26 12:10:57.156333;Porto Alegre;Luiza Cherobini;Tenis Adidas;Ashley Risner;feminino;credito
40;2023-01-26 14:11:59.310847;Florianópolis;Mario Sérgio;Tenis NB;Janet Miller;feminino;credito
41;2023-01-26 14:18:58.063375;Porto Alegre;Luiza Cherobini;Tenis Nike;Monique Poggio;feminino;credito
42;2023-01-26 14:48:56.133908;Canoas;Luis Fernando;Tenis NB;Ruby Willis;feminino;credito
43;2023-01-26 17:55:58.916533;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Shirley Humphrey;feminino;credito
44;2023-01-26 18:41:59.244845;Lajeado;Adriano Soares;Tenis Fila;Nicole Carson;feminino;credito
45;2023-01-27 09:20:57.534505;Lajeado;Juliano Faccioni;Tenis Nike;Robert Grier;masculino;credito
46;2023-01-27 09:53:56.976655;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Tiffany Crigger;feminino;credito
47;2023-01-27 10:24:56.671005;Canoas;Luis Fernando;Tenis Fila;Kara Lewis;feminino;credito
48;2023-01-27 11:29:58.289548;Canoas;Carlos Henrique;Tenis Fila;Milo Cumming;masculino;credito
49;2023-01-27 15:30:58.292415;São Paulo;Cassia Moraes;Tenis Adidas;Terrance Coppage;masculino;credito
50;2023-01-28 09:57:56.407270;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Austin Mallard;masculino;credito
51;2023-01-28 13:33:58.953591;Canoas;Carlos Henrique;Tenis NB;Lydia Gutierrez;feminino;credito
52;2023-01-28 16:35:57.888272;Lajeado;Juliano Faccioni;Tenis NB;George Cunningham;masculino;credito
53;2023-01-28 16:57:56.311461;São Paulo;Claudio Bueno;Tenis Nike;Bernard Perez;masculino;credito
54;2023-01-29 09:44:56.081136;Canoas;Carlos Henrique;Tenis NB;Mary Holmquist;feminino;boleto
55;2023-01-29 11:43:56.840626;São Paulo;Claudio Bueno;Tenis Nike;Eddy Ong;masculino;pix
56;2023-01-29 12:33:59.194643;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Harry Keyser;masculino;credito
57;2023-01-29 13:57:58.417476;São Paulo;Claudio Bueno;Tenis Adidas;Anthony Nichols;masculino;credito
58;2023-01-29 15:10:59.050729;Florianópolis;Mario Sérgio;Tenis NB;Jessica Torrence;feminino;credito
59;2023-01-30 08:01:58.867380;Lajeado;Juliano Faccioni;Tenis Adidas;Ethel Obrien;feminino;credito
60;2023-01-30 09:01:58.736924;Canoas;Luis Fernando;Tenis NB;Margaret Boyer;feminino;credito
61;2023-01-30 09:31:57.712395;Florianópolis;Mario Sérgio;Tenis Nike;Robert Labonte;masculino;credito
62;2023-01-30 09:49:58.071489;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Caren Clem;feminino;credito
63;2023-01-30 11:14:56.236713;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Isaac Hardebeck;masculino;credito
64;2023-01-30 11:25:56.470562;Canoas;Luis Fernando;Tenis Fila;Brandon Romero;masculino;pix
65;2023-01-30 11:26:59.239596;São Paulo;Claudio Bueno;Tenis Nike;Raymond Nelson;masculino;credito
66;2023-01-30 12:14:57.027732;Florianópolis;Mario Sérgio;Tenis Fila;Jeffrey Pal;masculino;pix
67;2023-01-30 13:11:57.730774;Canoas;Luis Fernando;Tenis Nike;Nancy Wang;feminino;credito
68;2023-01-30 15:07:59.457837;São Paulo;Cassia Moraes;Tenis Nike;Joel Torres;masculino;credito
69;2023-01-30 17:08:58.702660;Porto Alegre;Luiza Cherobini;Tenis Adidas;Thomas Tate;masculino;credito
70;2023-01-30 17:32:59.288088;Lajeado;Adriano Soares;Tenis Fila;Janet Perez;feminino;credito
71;2023-01-30 18:51:58.883579;Caxias do Sul;Mateus Kienzle;Tenis NB;Matthew Keller;masculino;credito
72;2023-01-31 09:32:57.537569;Florianópolis;Claudia dos Santos;Tenis Nike;Russell Volker;masculino;credito
73;2023-01-31 11:54:58.894537;Caxias do Sul;Mateus Kienzle;Tenis Nike;Ronald Porter;masculino;credito
74;2023-01-31 12:05:58.870207;Florianópolis;Claudia dos Santos;Tenis Adidas;Candy Blackmore;feminino;boleto
75;2023-01-31 16:41:57.300551;Porto Alegre;Luiza Cherobini;Tenis Adidas;James Stuart;masculino;credito
76;2023-01-31 16:45:58.313049;São Paulo;Cassia Moraes;Tenis Adidas;Linda Chaney;feminino;credito
77;2023-01-31 18:10:57.085737;São Paulo;Cassia Moraes;Tenis NB;Lucy Travis;feminino;credito
78;2023-02-01 13:03:58.076597;Lajeado;Adriano Soares;Tenis Fila;Dale Sipos;masculino;credito
79;2023-02-01 13:07:57.511699;Canoas;Luis Fernando;Tenis Fila;Charles Carter;masculino;credito
80;2023-02-02 08:01:58.551199;Lajeado;Adriano Soares;Tenis Nike;Kenneth Micheau;masculino;credito
81;2023-02-02 08:49:58.022620;Canoas;Carlos Henrique;Tenis Fila;Leticia Bold;feminino;credito
82;2023-02-02 08:58:58.455688;Florianópolis;Mario Sérgio;Tenis Adidas;Patricia Greenwood;feminino;pix
83;2023-02-02 10:41:59.429780;Porto Alegre;Luiza Cherobini;Tenis Adidas;Julianna Aldridge;feminino;credito
84;2023-02-02 11:15:57.841728;Lajeado;Adriano Soares;Tenis NB;Doris Hayslett;feminino;pix
85;2023-02-02 11:22:56.096428;Porto Alegre;Luiza Cherobini;Tenis NB;Hilda Leon;feminino;credito
86;2023-02-02 11:40:57.410916;Canoas;Luis Fernando;Tenis NB;Andrew Barnes;masculino;credito
87;2023-02-02 12:58:56.828770;Florianópolis;Claudia dos Santos;Tenis Fila;Rodolfo Kelsey;masculino;credito
88;2023-02-02 14:15:57.315876;Florianópolis;Claudia dos Santos;Tenis Nike;Carol Rodriguez;feminino;credito
89;2023-02-02 15:22:57.853533;Florianópolis;Mario Sérgio;Tenis Nike;Joaquin Brown;masculino;credito
90;2023-02-02 15:39:56.755834;Canoas;Carlos Henrique;Tenis NB;Irene Grayson;feminino;credito
91;2023-02-02 16:45:56.827609;Canoas;Luis Fernando;Tenis Nike;Lisa Cummins;feminino;pix
92;2023-02-02 18:11:56.521534;Florianópolis;Mario Sérgio;Tenis Fila;Charlene Feezell;feminino;credito
93;2023-02-03 09:08:58.967630;Canoas;Luis Fernando;Tenis Fila;Sidney Campbell;masculino;boleto
94;2023-02-03 10:21:57.297696;Porto Alegre;Luiza Cherobini;Tenis Adidas;Helen Mook;feminino;credito
95;2023-02-03 11:27:56.325412;Caxias do Sul;Mateus Kienzle;Tenis Fila;Anna Esparza;feminino;credito
96;2023-02-03 13:39:56.129449;Lajeado;Adriano Soares;Tenis Nike;William Williams;masculino;credito
97;2023-02-03 14:05:58.737829;Lajeado;Juliano Faccioni;Tenis Fila;Linda Dorsey;feminino;credito
98;2023-02-03 15:04:56.314441;Lajeado;Juliano Faccioni;Tenis NB;Lilly Dowell;feminino;pix
99;2023-02-03 16:05:59.547657;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Afton Navarro;feminino;credito
100;2023-02-03 17:44:56.564806;Porto Alegre;Luiza Cherobini;Tenis Nike;David Sullivan;masculino;credito
101;2023-02-03 18:57:59.489795;Florianópolis;Mario Sérgio;Tenis Nike;Linda Prescott;feminino;credito
102;2023-02-04 08:03:59.025615;Porto Alegre;Luiza Cherobini;Tenis Fila;Elizabeth Porter;feminino;credito
103;2023-02-04 09:07:59.508503;São Paulo;Claudio Bueno;Tenis Fila;Augustine Delucia;masculino;credito
104;2023-02-04 11:37:57.528832;Lajeado;Juliano Faccioni;Tenis Fila;John Woods;masculino;credito
105;2023-02-04 12:34:56.670488;Porto Alegre;Luiza Cherobini;Tenis Adidas;Emily Hurtado;feminino;credito
106;2023-02-04 13:00:59.058629;Porto Alegre;Rodrigo Tadewald;Tenis NB;Fern Swanson;feminino;credito
107;2023-02-04 15:20:59.583569;Porto Alegre;Rodrigo Tadewald;Tenis NB;Laurence Carter;masculino;credito
108;2023-02-04 15:39:57.677771;Canoas;Carlos Henrique;Tenis Adidas;Dolores Homer;feminino;credito
109;2023-02-04 18:27:57.528871;Florianópolis;Claudia dos Santos;Tenis Adidas;Bertha Nitz;feminino;credito
110;2023-02-04 18:45:58.669110;Canoas;Luis Fernando;Tenis NB;Patricia Nelson;feminino;credito
111;2023-02-05 08:01:58.902313;Lajeado;Juliano Faccioni;Tenis NB;Deborah Simpkins;feminino;credito
112;2023-02-05 08:24:57.857835;Canoas;Luis Fernando;Tenis Fila;Allison Hackett;feminino;pix
113;2023-02-05 10:42:58.679777;Lajeado;Juliano Faccioni;Tenis Fila;Helen Iannaccone;feminino;boleto
114;2023-02-05 11:01:56.452305;Florianópolis;Claudia dos Santos;Tenis Nike;Samuel Hughes;masculino;credito
115;2023-02-05 11:57:59.025661;Canoas;Carlos Henrique;Tenis Fila;Steve Burkhard;masculino;boleto
116;2023-02-05 14:13:56.874476;Florianópolis;Claudia dos Santos;Tenis Nike;Timothy Dahlheimer;masculino;boleto
117;2023-02-05 18:06:58.414918;Canoas;Luis Fernando;Tenis Adidas;Edwin Winfield;masculino;credito
118;2023-02-06 08:02:58.738175;Porto Alegre;Luiza Cherobini;Tenis NB;Gloria Gravois;feminino;credito
119;2023-02-06 08:11:59.144552;Florianópolis;Claudia dos Santos;Tenis Adidas;George Stevenson;masculino;boleto
120;2023-02-06 10:23:57.332731;Lajeado;Juliano Faccioni;Tenis NB;Carl Damron;masculino;credito
121;2023-02-06 11:39:57.975567;São Paulo;Cassia Moraes;Tenis Fila;Linda Evans;feminino;credito
122;2023-02-06 12:28:56.228514;Canoas;Luis Fernando;Tenis NB;David Rush;masculino;pix
123;2023-02-06 14:46:58.291173;São Paulo;Cassia Moraes;Tenis Fila;Brittany Mccallum;feminino;credito
124;2023-02-06 17:48:58.505448;São Paulo;Claudio Bueno;Tenis Fila;Melissa Bohannon;feminino;credito
125;2023-02-07 08:20:57.141915;São Paulo;Claudio Bueno;Tenis NB;Henry Webb;masculino;credito
126;2023-02-07 08:41:56.397608;Canoas;Luis Fernando;Tenis Adidas;Bobby Chance;masculino;credito
127;2023-02-07 09:57:56.486053;Lajeado;Juliano Faccioni;Tenis Nike;John Scott;masculino;credito
128;2023-02-07 11:03:58.086200;Lajeado;Adriano Soares;Tenis Fila;Kimberly Eckert;feminino;boleto
129;2023-02-07 11:42:56.545862;Canoas;Carlos Henrique;Tenis NB;Terry Bowman;masculino;pix
130;2023-02-07 12:28:58.610843;Canoas;Luis Fernando;Tenis Nike;Becki Rice;feminino;credito
131;2023-02-07 13:28:58.041159;Canoas;Luis Fernando;Tenis NB;Mary Tompkins;feminino;credito
132;2023-02-07 13:29:59.051586;Florianópolis;Mario Sérgio;Tenis Nike;William Johnson;masculino;credito
133;2023-02-07 14:04:58.326560;Caxias do Sul;Mateus Kienzle;Tenis NB;Jerry Bane;masculino;boleto
134;2023-02-07 14:35:56.477801;Porto Alegre;Luiza Cherobini;Tenis Nike;Michael Bouthillette;masculino;credito
135;2023-02-07 17:50:59.065418;Canoas;Carlos Henrique;Tenis Adidas;Stacey Maxwell;feminino;credito
136;2023-02-07 17:56:56.821693;São Paulo;Cassia Moraes;Tenis Nike;Courtney Kunkle;feminino;pix
137;2023-02-07 18:20:58.739789;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Elizabeth Allen;feminino;boleto
138;2023-02-08 08:34:58.236718;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;David Whelan;feminino;credito
139;2023-02-08 09:56:58.315826;Porto Alegre;Luiza Cherobini;Tenis Nike;Vernon Gardner;masculino;pix
140;2023-02-08 10:24:59.619985;São Paulo;Claudio Bueno;Tenis NB;Brent Snider;masculino;boleto
141;2023-02-08 10:34:56.406792;São Paulo;Cassia Moraes;Tenis Fila;Sandra Rasmussen;feminino;pix
142;2023-02-08 11:30:58.595166;Canoas;Luis Fernando;Tenis NB;Anna Cooper;feminino;boleto
143;2023-02-08 13:01:57.336914;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Mark Luna;masculino;credito
144;2023-02-08 14:17:57.217217;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Jimmy Jageman;masculino;credito
145;2023-02-08 14:29:58.929047;Canoas;Carlos Henrique;Tenis NB;Thomas Jacks;masculino;credito
146;2023-02-08 15:01:59.332260;Canoas;Luis Fernando;Tenis Fila;Mary Brown;feminino;credito
147;2023-02-08 16:20:56.133845;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Judy Garcia;feminino;boleto
148;2023-02-09 09:54:57.918002;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Mariano Martin;masculino;credito
149;2023-02-09 10:22:58.703160;Caxias do Sul;Mateus Kienzle;Tenis NB;Thomas Carter;masculino;credito
150;2023-02-09 11:00:59.286124;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Moses Hannigan;masculino;pix
151;2023-02-09 12:35:59.304024;São Paulo;Cassia Moraes;Tenis NB;Doris Sheats;feminino;credito
152;2023-02-09 13:12:59.263523;Lajeado;Adriano Soares;Tenis Adidas;Beverly Trotter;feminino;credito
153;2023-02-09 16:01:57.540727;São Paulo;Claudio Bueno;Tenis Nike;Marjorie Henson;feminino;credito
154;2023-02-09 17:21:57.730732;São Paulo;Cassia Moraes;Tenis Adidas;Gerald Parker;masculino;credito
155;2023-02-09 17:34:56.169987;São Paulo;Claudio Bueno;Tenis NB;Alina Tamborlane;feminino;credito
156;2023-02-10 10:57:57.892163;Porto Alegre;Luiza Cherobini;Tenis Nike;William Garcia;masculino;credito
157;2023-02-10 11:17:58.993509;Porto Alegre;Luiza Cherobini;Tenis NB;Micheal Witkowski;masculino;credito
158;2023-02-10 11:29:57.494098;São Paulo;Cassia Moraes;Tenis Fila;Timothy Lehnen;masculino;credito
159;2023-02-10 11:54:56.081026;Lajeado;Juliano Faccioni;Tenis Nike;Clarence Valdez;masculino;credito
160;2023-02-10 14:26:57.340963;São Paulo;Cassia Moraes;Tenis Fila;Julie Harry;feminino;boleto
161;2023-02-10 15:27:57.406813;Florianópolis;Mario Sérgio;Tenis NB;Gail Parker;feminino;credito
162;2023-02-10 16:39:57.663428;Lajeado;Adriano Soares;Tenis NB;Toby Willey;masculino;boleto
163;2023-02-11 07:57:56.602435;São Paulo;Cassia Moraes;Tenis Adidas;Jacquelyn Buckley;feminino;credito
164;2023-02-11 12:29:57.162819;São Paulo;Cassia Moraes;Tenis Adidas;Eileen Herron;feminino;credito
165;2023-02-11 13:29:57.986862;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Jeane Harmon;feminino;pix
166;2023-02-11 14:38:59.370812;Canoas;Carlos Henrique;Tenis Nike;Kyla Weed;feminino;credito
167;2023-02-11 16:40:58.847787;Canoas;Carlos Henrique;Tenis Nike;John White;masculino;credito
168;2023-02-12 09:58:57.936588;Florianópolis;Mario Sérgio;Tenis Adidas;Antonio Bild;masculino;credito
169;2023-02-12 12:38:56.650854;São Paulo;Cassia Moraes;Tenis NB;Sandra Nolan;feminino;credito
170;2023-02-12 14:06:59.649855;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Eva Whitmire;feminino;credito
171;2023-02-12 15:25:56.124524;Lajeado;Adriano Soares;Tenis Nike;Linda Brown;feminino;credito
172;2023-02-12 15:51:58.755649;Lajeado;Adriano Soares;Tenis Nike;Thelma Garrison;feminino;credito
173;2023-02-12 18:17:59.356356;Florianópolis;Mario Sérgio;Tenis NB;Bettie Wilson;feminino;credito
174;2023-02-12 18:25:56.871126;Florianópolis;Mario Sérgio;Tenis Nike;Brian Anaya;masculino;credito
175;2023-02-13 09:00:58.991375;Canoas;Carlos Henrique;Tenis NB;Catherine Beesley;feminino;credito
176;2023-02-13 09:27:57.679276;Florianópolis;Mario Sérgio;Tenis NB;Henriette Long;feminino;credito
177;2023-02-13 12:01:59.488735;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Donna Nobles;feminino;credito
178;2023-02-13 12:28:58.626942;Porto Alegre;Luiza Cherobini;Tenis Nike;Francis Calloway;masculino;credito
179;2023-02-13 12:58:57.163188;São Paulo;Cassia Moraes;Tenis Nike;Sarah Reaume;feminino;credito
180;2023-02-13 13:11:58.120969;São Paulo;Claudio Bueno;Tenis Adidas;Damon Nabzdyk;masculino;credito
181;2023-02-13 17:19:58.254276;Caxias do Sul;Mateus Kienzle;Tenis Fila;Laura White;feminino;credito
182;2023-02-13 17:35:59.634450;São Paulo;Claudio Bueno;Tenis NB;Bernard Livesay;masculino;credito
183;2023-02-13 18:01:57.287950;Porto Alegre;Luiza Cherobini;Tenis Nike;Ronald Wilson;masculino;credito
184;2023-02-14 08:38:56.077364;Lajeado;Adriano Soares;Tenis Fila;Shari Mcfadden;feminino;boleto
185;2023-02-14 09:20:56.205687;Canoas;Luis Fernando;Tenis Nike;Tasha Rellihan;feminino;credito
186;2023-02-14 09:46:56.983481;Lajeado;Adriano Soares;Tenis Adidas;Warren Morales;masculino;boleto
187;2023-02-14 11:39:56.190443;Porto Alegre;Luiza Cherobini;Tenis NB;Socorro Rosales;feminino;credito
188;2023-02-14 12:38:57.268670;Caxias do Sul;Mateus Kienzle;Tenis Nike;Lauren Broom;feminino;credito
189;2023-02-14 16:36:57.723022;Porto Alegre;Luiza Cherobini;Tenis Nike;Will Willis;masculino;credito
190;2023-02-14 16:36:59.289921;Porto Alegre;Luiza Cherobini;Tenis Fila;David Oviedo;masculino;pix
191;2023-02-14 16:52:56.030659;Florianópolis;Claudia dos Santos;Tenis Fila;Michael Cowles;masculino;credito
192;2023-02-14 18:32:57.556588;São Paulo;Claudio Bueno;Tenis Fila;Kent Hollyday;masculino;credito
193;2023-02-14 18:44:57.060146;Florianópolis;Mario Sérgio;Tenis NB;Annie Liberatore;feminino;boleto
194;2023-02-15 08:25:59.575346;Lajeado;Juliano Faccioni;Tenis Fila;Cheryl Duhe;feminino;boleto
195;2023-02-15 09:50:56.355852;Lajeado;Juliano Faccioni;Tenis Adidas;Matthew Allen;masculino;credito
196;2023-02-15 09:52:56.871609;Canoas;Carlos Henrique;Tenis Fila;David Munos;masculino;credito
197;2023-02-15 10:59:57.492365;Florianópolis;Mario Sérgio;Tenis NB;Ernestine Batton;feminino;credito
198;2023-02-15 13:24:58.788441;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Melvin Ahart;masculino;credito
199;2023-02-15 16:48:56.434396;São Paulo;Claudio Bueno;Tenis Nike;Isabel Reynolds;feminino;credito
200;2023-02-15 18:06:59.490317;Florianópolis;Claudia dos Santos;Tenis Fila;Barbara Mcginity;feminino;credito
201;2023-02-16 08:58:57.062454;Florianópolis;Claudia dos Santos;Tenis Adidas;Thomas Dailey;masculino;credito
202;2023-02-16 10:27:59.508283;Florianópolis;Claudia dos Santos;Tenis Adidas;Kenneth Ball;masculino;credito
203;2023-02-16 11:54:57.868124;Lajeado;Adriano Soares;Tenis Nike;Michele Larson;feminino;boleto
204;2023-02-16 12:03:57.723911;Caxias do Sul;Mateus Kienzle;Tenis Nike;Jo Mccready;feminino;boleto
205;2023-02-16 13:30:57.528318;Florianópolis;Claudia dos Santos;Tenis Fila;Jeremy Parnell;masculino;credito
206;2023-02-16 14:00:57.435441;Florianópolis;Mario Sérgio;Tenis Adidas;Norma Hunte;feminino;pix
207;2023-02-16 14:58:58.872422;Caxias do Sul;Mateus Kienzle;Tenis Nike;Mary Francour;feminino;credito
208;2023-02-16 17:16:59.151741;Canoas;Carlos Henrique;Tenis Adidas;Joseph Beaty;masculino;credito
209;2023-02-16 18:19:59.114289;Caxias do Sul;Mateus Kienzle;Tenis Nike;Mary Simpson;feminino;credito
210;2023-02-16 18:31:58.812699;Florianópolis;Claudia dos Santos;Tenis Fila;Jayson Wentworth;masculino;credito
211;2023-02-17 09:34:56.351310;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Vincent Hultgren;masculino;credito
212;2023-02-17 10:32:56.601575;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Kimberly Jones;feminino;credito
213;2023-02-17 10:47:56.905302;Canoas;Luis Fernando;Tenis Nike;Danielle Ellis;feminino;pix
214;2023-02-17 11:54:58.316090;Porto Alegre;Luiza Cherobini;Tenis NB;Alvin Osborn;masculino;credito
215;2023-02-17 13:35:56.794018;Canoas;Luis Fernando;Tenis Adidas;Whitney Mclean;feminino;pix
216;2023-02-17 16:09:56.338583;Florianópolis;Claudia dos Santos;Tenis NB;Catherine Collier;feminino;credito
217;2023-02-17 18:40:58.573745;Lajeado;Adriano Soares;Tenis Fila;Vanessa Fote;feminino;credito
218;2023-02-18 08:09:56.708460;Lajeado;Juliano Faccioni;Tenis NB;John Deeter;masculino;credito
219;2023-02-18 09:07:58.933893;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Kenneth Harper;masculino;pix
220;2023-02-18 09:23:59.192629;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Cindy Frye;feminino;credito
221;2023-02-18 11:49:58.452995;Canoas;Carlos Henrique;Tenis NB;Renee Clark;feminino;credito
222;2023-02-18 12:28:59.293444;Florianópolis;Claudia dos Santos;Tenis Fila;Sam Watters;masculino;credito
223;2023-02-18 13:01:58.779357;Lajeado;Juliano Faccioni;Tenis Fila;Eric Hebrank;masculino;credito
224;2023-02-18 15:01:59.227748;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Thomas Embree;masculino;credito
225;2023-02-18 15:14:56.254847;Florianópolis;Mario Sérgio;Tenis Fila;Richard Oliver;masculino;credito
226;2023-02-18 15:14:56.797915;Canoas;Luis Fernando;Tenis Nike;Kathryn Ayala;feminino;credito
227;2023-02-18 15:26:58.292056;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Eddie Baker;masculino;credito
228;2023-02-18 16:30:56.279998;São Paulo;Claudio Bueno;Tenis Adidas;Barbara Hanberry;feminino;credito
229;2023-02-18 17:17:58.804564;Lajeado;Adriano Soares;Tenis Fila;Elizabeth Tucker;feminino;boleto
230;2023-02-18 17:31:57.200581;Florianópolis;Claudia dos Santos;Tenis NB;Patrick Rimmer;masculino;pix
231;2023-02-18 18:20:56.838679;Lajeado;Adriano Soares;Tenis NB;Charles Navarro;masculino;credito
232;2023-02-18 18:42:56.090262;Canoas;Luis Fernando;Tenis NB;Madonna Hicks;feminino;credito
233;2023-02-19 09:33:57.841453;Porto Alegre;Luiza Cherobini;Tenis Adidas;Roy Holt;masculino;credito
234;2023-02-19 11:03:56.675900;Florianópolis;Claudia dos Santos;Tenis Adidas;Brenda Robles;feminino;credito
235;2023-02-19 12:05:56.906093;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Erma Betschart;feminino;credito
236;2023-02-19 13:10:56.503206;Porto Alegre;Luiza Cherobini;Tenis NB;John Read;masculino;credito
237;2023-02-19 13:23:57.951450;Porto Alegre;Rodrigo Tadewald;Tenis NB;Dale Smith;masculino;credito
238;2023-02-19 13:40:57.381540;Canoas;Luis Fernando;Tenis Nike;Tim Dorsey;masculino;credito
239;2023-02-19 14:47:57.542259;Porto Alegre;Luiza Cherobini;Tenis Nike;Jerry Hobart;masculino;credito
